id,name,type,amount,frequency,day_of_month,category,account,start_date,end_date,max_occurrences,last_generated,account_id,account_name_snapshot,payment_method_id,payment_method_name_snapshot,payment_resolution_template_json
1,OneDrive,expense,10.0,1,4,Subscriptions,,2026-05-08,,,2026-06-04,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
2,Deposit,investment,150.0,1,8,Deposit,,2026-05-08,,,2026-06-08,main_bank,Main,main_bank_transfer,Main bank account,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""investment""}"
3,Google One,expense,29.99,12,15,Subscriptions,,2026-09-15,,,,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
4,Amazon Prime,expense,49.9,12,2,Subscriptions,,2025-12-02,,,2025-12-02,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
5,Polizza Casa e Famiglia,expense,39.33,1,22,Housing,,2026-05-22,,,2026-06-22,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
6,NordVPN,expense,200.0,24,26,Subscriptions,,2025-05-26,,,2025-05-26,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
7,Ticket Restaurants,income,200.0,1,10,Kineton,EdenRed,2026-06-01,,,2026-06-10,edenred,EdenRed,edenred,EdenRed,"{""account_id"": ""edenred"", ""account_name_snapshot"": ""EdenRed"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""edenred"", ""liability_account_id"": """", ""payment_method_id"": ""edenred"", ""payment_method_name_snapshot"": ""EdenRed"", ""schema_version"": 1, ""settlement_account_id"": ""edenred"", ""settlement_mode"": ""stored_balance"", ""transaction_type"": ""income""}"
8,Parking Spot,expense,200.0,1,3,Housing,PayPal,2026-06-01,,,2026-06-03,paypal,PayPal,paypal_balance,PayPal balance,"{""account_id"": ""paypal"", ""account_name_snapshot"": ""PayPal"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""paypal"", ""liability_account_id"": """", ""payment_method_id"": ""paypal_balance"", ""payment_method_name_snapshot"": ""PayPal balance"", ""schema_version"": 1, ""settlement_account_id"": ""paypal"", ""settlement_mode"": ""stored_balance"", ""transaction_type"": ""expense""}"
9,Cedolino Kineton,income,1950.0,1,10,Kineton,,2026-06-16,,,,main_bank,Main,main_bank_transfer,Main bank account,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""income""}"
10,Condominio 3rd e 4th rata 2026,expense,612.0,3,1,Housing,,2026-07-01,,2,,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
